,,,,,,,,MERRA-2 Precipitation Corrected Sum (mm) ,,,,,,
Year\,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,annual mean
1981,36.91,5.27,10.55,10.55,42.19,63.28,569.53,195.12,184.57,0,21.09,10.55,1149.61,95.80083333
1982,31.64,21.09,36.91,52.73,36.91,147.66,142.38,205.66,94.92,26.37,21.09,0,817.38,68.11333333
1983,0,0,0,5.27,0,100.2,163.48,131.84,42.19,47.46,0,10.55,500.98,41.74916667
1984,10.55,36.91,0,0,0,279.49,337.5,274.22,221.48,5.27,0,0,1165.43,97.11833333
1985,15.82,0,0,0,5.27,52.73,485.16,290.04,258.4,168.75,0,5.27,1281.45,106.7866667
1986,5.27,10.55,0,21.09,36.91,63.28,353.32,200.39,84.38,73.83,0,15.82,864.84,72.07
1987,5.27,0,0,15.82,10.55,52.73,400.78,453.52,411.33,26.37,0,0,1376.37,114.6975
1988,0,5.27,36.91,10.55,5.27,163.48,268.95,437.7,131.84,10.55,0,26.37,1096.88,91.4075
1989,0,0,5.27,0,36.91,42.19,316.41,100.2,131.84,26.37,0,10.55,669.73,55.81166667
1990,0,36.91,0,0,5.27,247.85,532.62,110.74,105.47,10.55,0,0,1049.41,87.45083333
1991,10.55,0,0,0,10.55,137.11,63.28,274.22,168.75,0,0,15.82,680.27,56.69
1992,0,0,0,0,36.91,89.65,200.39,274.22,36.91,21.09,5.27,0,664.45,55.37
1993,0,0,26.37,0,10.55,126.56,142.38,253.12,332.23,10.55,26.37,0,928.12,77.34416667
1994,21.09,26.37,0,15.82,26.37,84.38,189.84,342.77,168.75,36.91,5.27,0,917.58,76.46416667
1995,15.82,26.37,0,0,0,89.65,268.95,242.58,253.12,5.27,47.46,31.64,980.86,81.73833333
1996,26.37,26.37,0,0,0,200.39,232.03,305.86,163.48,31.64,0,0,986.13,82.17833333
1997,10.55,0,0,21.09,31.64,100.2,590.62,284.77,110.74,31.64,26.37,31.64,1239.26,103.2716667
1998,0,15.82,10.55,0,15.82,68.55,247.85,274.22,226.76,68.55,26.37,0,954.49,79.54083333
1999,0,0,0,0,63.28,110.74,300.59,184.57,68.55,84.38,0,0,812.11,67.67583333
2000,0,5.27,0,10.55,47.46,284.77,210.94,195.12,221.48,0,0,0,975.59,81.29916667
2001,5.27,0,0,10.55,58.01,305.86,200.39,179.3,200.39,105.47,0,0,1065.23,88.77
2002,10.55,5.27,5.27,5.27,121.29,79.1,237.3,226.76,84.38,79.1,0,10.55,864.84,72.07
2003,5.27,42.19,0,15.82,10.55,221.48,247.85,195.12,137.11,110.74,0,5.27,991.41,82.61666667
2004,21.09,0,0,21.09,31.64,221.48,205.66,226.76,68.55,10.55,0,0,806.84,67.235
2005,21.09,21.09,10.55,5.27,5.27,58.01,332.23,189.84,58.01,58.01,0,0,759.38,63.28083333
2006,0,0,5.27,15.82,31.64,200.39,326.95,216.21,200.39,5.27,5.27,0,1007.23,83.93416667
2007,0,47.46,31.64,15.82,47.46,100.2,500.98,274.22,284.77,31.64,0,0,1334.18,111.1825
2008,42.19,5.27,0,26.37,63.28,474.61,379.69,390.23,158.2,5.27,0,0,1545.12,128.7591667
2009,0,0,0,0,47.46,73.83,163.48,268.95,126.56,52.73,5.27,5.27,743.55,61.9625
2010,0,5.27,0,0,58.01,47.46,232.03,210.94,116.02,73.83,0,0,743.55,61.96333333
2011,0,5.27,5.27,31.64,47.46,305.86,100.2,237.3,284.77,0,0,0,1017.77,84.81416667
2012,15.82,0,10.55,5.27,10.55,73.83,321.68,290.04,200.39,31.64,10.55,0,970.31,80.86
2013,10.55,26.37,0,21.09,89.65,89.65,79.1,158.2,232.03,189.84,0,0,896.48,74.70666667
2014,26.37,42.19,5.27,0,63.28,79.1,226.76,353.32,216.21,52.73,0,0,1065.23,88.76916667
2015,21.09,0,21.09,10.55,10.55,116.02,337.5,263.67,63.28,0,0,0,843.75,70.3125
2016,10.55,0,10.55,0,68.55,42.19,279.49,131.84,295.31,63.28,0,0,901.76,75.14666667
2017,0,0,5.27,5.27,42.19,63.28,348.05,279.49,63.28,10.55,0,0,817.38,68.115
2018,0,0,0,31.64,21.09,52.73,210.94,189.84,73.83,5.27,0,0,585.35,48.77833333
2019,0,15.82,5.27,10.55,5.27,47.46,305.86,137.11,332.23,0,0,21.09,880.66,73.38833333
2020,5.27,21.09,36.91,10.55,68.55,279.49,379.69,142.38,242.58,63.28,0,0,1249.8,104.1491667
2021,0,0,0,4.21,227.27,306.1,258.28,304.11,145.41,88,0.12,11.06,1344.55,112.0466667
2022,12.64,31.72,0.01,1.41,50.63,143.26,115.05,163.21,129.83,64.67,0,0.11,712.56,59.37833333
